system,suite,name,time_ms,acc_main,acc_aux,extra
haskell,hbm_dist,gauss,1.428693e-3,9.657918e-2,67.599677,absorbed=True relErr=4.25e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,pois,5.029842e-3,7.266488e-2,14.446752,absorbed=True relErr=2.25e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,bern,9.292405e-3,7.022203e-2,7.556927,absorbed=True relErr=9.68e-17 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,studentt,4.928594e-3,0.324447,65.829499,absorbed=True relErr=9.58e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,cauchy,4.393132e-3,9.871640e-2,22.470620,absorbed=True relErr=1.14e-15 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,logistic,8.091745e-3,0.146304,18.080700,absorbed=True relErr=8.40e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,gumbel,6.465934e-3,0.121342,18.766280,absorbed=True relErr=9.30e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,expo,7.149832e-3,8.467138e-2,11.842429,absorbed=True relErr=1.92e-15 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,weibull,1.012646e-2,0.177798,17.557748,absorbed=True relErr=1.51e-15 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,lognormal,2.833854e-3,0.141445,49.912448,absorbed=True relErr=1.39e-15 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,gamma,8.180376e-3,0.557235,68.118532,absorbed=True relErr=8.09e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,beta,4.404419e-2,1.728086,39.235266,absorbed=True relErr=3.78e-14 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,binomial,1.219822e-2,0.211601,17.346862,absorbed=True relErr=6.18e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,geometric,1.255955e-2,0.127531,10.154100,absorbed=True relErr=1.81e-16 n=100 batch=1000 per-call only (per-draw 波及は未計測)
haskell,hbm_dist,negbin,2.336337e-2,1.227709,52.548468,absorbed=True relErr=4.93e-15 n=100 batch=1000 per-call only (per-draw 波及は未計測)
