system,suite,name,time_ms,acc_main,acc_aux,extra
haskell,hbm_scaling,M1_pooled_iter50,15.229895,1.426569,49.851627,iter=50 warmup=500 key=b ess=49.9 ess_per_sec=3273.27 accept=0.873 tree_depth=2.64 time_ms=15.2
haskell,hbm_scaling,M1_pooled_iter100,15.694741,1.428915,100.000000,iter=100 warmup=500 key=b ess=100.0 ess_per_sec=6371.56 accept=0.883 tree_depth=2.61 time_ms=15.7
haskell,hbm_scaling,M1_pooled_iter200,17.712355,1.431866,200.000000,iter=200 warmup=500 key=b ess=200.0 ess_per_sec=11291.55 accept=0.894 tree_depth=2.62 time_ms=17.7
haskell,hbm_scaling,M1_pooled_iter400,22.622693,1.429357,400.000000,iter=400 warmup=500 key=b ess=400.0 ess_per_sec=17681.36 accept=0.916 tree_depth=2.67 time_ms=22.6
haskell,hbm_scaling,M1_pooled_iter800,32.673813,1.429687,800.000000,iter=800 warmup=500 key=b ess=800.0 ess_per_sec=24484.44 accept=0.936 tree_depth=2.66 time_ms=32.7
haskell,hbm_scaling,M1_pooled_iter1600,50.250570,1.430347,1600.000000,iter=1600 warmup=500 key=b ess=1600.0 ess_per_sec=31840.43 accept=0.954 tree_depth=2.64 time_ms=50.3
haskell,hbm_scaling,M2_ranint_iter50,94.813769,0.829093,50.000000,iter=50 warmup=500 key=beta_1 ess=50.0 ess_per_sec=527.35 accept=0.898 tree_depth=4.32 time_ms=94.8
haskell,hbm_scaling,M2_ranint_iter100,112.807175,0.831082,100.000000,iter=100 warmup=500 key=beta_1 ess=100.0 ess_per_sec=886.47 accept=0.907 tree_depth=4.25 time_ms=112.8
haskell,hbm_scaling,M2_ranint_iter200,123.997874,0.834647,200.000000,iter=200 warmup=500 key=beta_1 ess=200.0 ess_per_sec=1612.93 accept=0.920 tree_depth=4.26 time_ms=124.0
haskell,hbm_scaling,M2_ranint_iter400,147.582471,0.831472,400.000000,iter=400 warmup=500 key=beta_1 ess=400.0 ess_per_sec=2710.35 accept=0.938 tree_depth=4.21 time_ms=147.6
haskell,hbm_scaling,M2_ranint_iter800,260.281479,0.830213,800.000000,iter=800 warmup=500 key=beta_1 ess=800.0 ess_per_sec=3073.60 accept=0.956 tree_depth=4.22 time_ms=260.3
haskell,hbm_scaling,M2_ranint_iter1600,344.890574,0.829018,1600.000000,iter=1600 warmup=500 key=beta_1 ess=1600.0 ess_per_sec=4639.15 accept=0.971 tree_depth=4.22 time_ms=344.9
haskell,hbm_scaling,M3_ranslope_iter50,209.181155,0.999686,6.176105,iter=50 warmup=500 key=beta_1 ess=6.2 ess_per_sec=29.53 accept=0.893 tree_depth=4.32 time_ms=209.2
haskell,hbm_scaling,M3_ranslope_iter100,189.681442,1.007918,37.307211,iter=100 warmup=500 key=beta_1 ess=37.3 ess_per_sec=196.68 accept=0.902 tree_depth=4.43 time_ms=189.7
haskell,hbm_scaling,M3_ranslope_iter200,260.015810,0.982005,80.907948,iter=200 warmup=500 key=beta_1 ess=80.9 ess_per_sec=311.17 accept=0.916 tree_depth=4.37 time_ms=260.0
