system,suite,name,time_ms,acc_main,acc_aux,extra
haskell,optim,Rosenbrock_2D/NelderMead,4.348800e-2,3.492561e-9,1.000000,median over 30 seeds
haskell,optim,Rosenbrock_2D/LBFGS,5.746200e-2,4.000102e-16,0.933333,median over 30 seeds
haskell,optim,Rosenbrock_2D/DE,0.741058,1.033940e-10,1.000000,median over 30 seeds
haskell,optim,Rosenbrock_2D/CMAES,0.276943,4.170960e-2,0.200000,median over 30 seeds
haskell,optim,Rosenbrock_2D/SA,1.158019,2.279778e-7,1.000000,median over 30 seeds
haskell,optim,Rosenbrock_2D/PSO,0.914800,2.039831e-8,1.000000,median over 30 seeds
haskell,optim,Rosenbrock_10D/NelderMead,5.773894,3.436684,0.000000,median over 30 seeds
haskell,optim,Rosenbrock_10D/LBFGS,1.227141,1.199480e-15,0.900000,median over 30 seeds
haskell,optim,Rosenbrock_10D/DE,25.726226,10.335860,0.000000,median over 30 seeds
haskell,optim,Rosenbrock_10D/CMAES,2.337793,6.968655,0.000000,median over 30 seeds
haskell,optim,Rosenbrock_10D/SA,4.938288,5.445726,0.000000,median over 30 seeds
haskell,optim,Rosenbrock_10D/PSO,12.074738,4.634716,0.000000,median over 30 seeds
haskell,optim,Rastrigin_10D/NelderMead,3.594912,12.934458,0.000000,median over 30 seeds
haskell,optim,Rastrigin_10D/LBFGS,0.150011,16.914289,0.000000,median over 30 seeds
haskell,optim,Rastrigin_10D/DE,22.586562,42.191505,0.000000,median over 30 seeds
haskell,optim,Rastrigin_10D/CMAES,1.758185,14.925133,0.000000,median over 30 seeds
haskell,optim,Rastrigin_10D/SA,3.727288,17.914662,0.000000,median over 30 seeds
haskell,optim,Rastrigin_10D/PSO,9.844462,7.959855,0.000000,median over 30 seeds
haskell,optim,Sphere_30D/NelderMead,31.536471,0.156422,3.333333e-2,median over 30 seeds
haskell,optim,Sphere_30D/LBFGS,2.932000e-2,1.663016e-19,1.000000,median over 30 seeds
haskell,optim,Sphere_30D/DE,209.762529,43.070816,0.000000,median over 30 seeds
haskell,optim,Sphere_30D/CMAES,8.133623,3.239042e-3,1.000000,median over 30 seeds
haskell,optim,Sphere_30D/SA,7.495440,5.611290e-4,1.000000,median over 30 seeds
haskell,optim,Sphere_30D/PSO,127.125869,4.776207e-6,1.000000,median over 30 seeds
haskell,optim,Ackley_10D/NelderMead,5.208225,1.155149,0.433333,median over 30 seeds
haskell,optim,Ackley_10D/LBFGS,0.236434,3.574027,3.333333e-2,median over 30 seeds
haskell,optim,Ackley_10D/DE,29.584004,0.158078,0.000000,median over 30 seeds
haskell,optim,Ackley_10D/CMAES,2.172334,4.832296e-3,0.966667,median over 30 seeds
haskell,optim,Ackley_10D/SA,4.784414,8.563072e-3,0.766667,median over 30 seeds
haskell,optim,Ackley_10D/PSO,12.195489,1.709779e-6,1.000000,median over 30 seeds
haskell,optim,Levy_10D/NelderMead,6.656709,0.230359,3.333333e-2,median over 30 seeds
haskell,optim,Levy_10D/LBFGS,0.497308,0.454324,0.100000,median over 30 seeds
haskell,optim,Levy_10D/DE,33.048465,1.053655e-2,0.433333,median over 30 seeds
haskell,optim,Levy_10D/CMAES,2.658995,8.931204e-6,0.966667,median over 30 seeds
haskell,optim,Levy_10D/SA,5.927453,0.454348,0.233333,median over 30 seeds
haskell,optim,Levy_10D/PSO,14.352225,1.547333e-12,0.800000,median over 30 seeds
