system,suite,name,time_ms,acc_main,acc_aux,extra
python,hbm_scaling,M1_pooled_iter50,1261.9,1.45,67,iter=50 warmup=500 key=b ess=67.0 ess_per_sec=53.09 tree_depth=1.98 time_ms=1261.9
python,hbm_scaling,M1_pooled_iter100,1305.88,1.44,82,iter=100 warmup=500 key=b ess=82.0 ess_per_sec=62.79 tree_depth=2.02 time_ms=1305.9
python,hbm_scaling,M1_pooled_iter200,1165.39,1.441,181,iter=200 warmup=500 key=b ess=181.0 ess_per_sec=155.31 tree_depth=2.01 time_ms=1165.4
python,hbm_scaling,M1_pooled_iter400,1211.09,1.436,338,iter=400 warmup=500 key=b ess=338.0 ess_per_sec=279.09 tree_depth=2.00 time_ms=1211.1
python,hbm_scaling,M1_pooled_iter800,1303.01,1.433,856,iter=800 warmup=500 key=b ess=856.0 ess_per_sec=656.94 tree_depth=2.00 time_ms=1303.0
python,hbm_scaling,M1_pooled_iter1600,1574.79,1.432,1960,iter=1600 warmup=500 key=b ess=1960.0 ess_per_sec=1244.61 tree_depth=1.99 time_ms=1574.8
python,hbm_scaling,M2_ranint_iter50,2067.86,0.835,44,iter=50 warmup=500 key=beta_1 ess=44.0 ess_per_sec=21.28 tree_depth=3.70 time_ms=2067.9
python,hbm_scaling,M2_ranint_iter100,2022.15,0.833,97,iter=100 warmup=500 key=beta_1 ess=97.0 ess_per_sec=47.97 tree_depth=3.78 time_ms=2022.1
python,hbm_scaling,M2_ranint_iter200,2268.26,0.834,140,iter=200 warmup=500 key=beta_1 ess=140.0 ess_per_sec=61.72 tree_depth=3.66 time_ms=2268.3
python,hbm_scaling,M2_ranint_iter400,2369.62,0.832,286,iter=400 warmup=500 key=beta_1 ess=286.0 ess_per_sec=120.69 tree_depth=3.62 time_ms=2369.6
python,hbm_scaling,M2_ranint_iter800,2471.72,0.829,469,iter=800 warmup=500 key=beta_1 ess=469.0 ess_per_sec=189.75 tree_depth=3.61 time_ms=2471.7
python,hbm_scaling,M2_ranint_iter1600,3094.95,0.829,1092,iter=1600 warmup=500 key=beta_1 ess=1092.0 ess_per_sec=352.83 tree_depth=3.60 time_ms=3094.9
python,hbm_scaling,M3_ranslope_iter50,2894.84,0.9,17,iter=50 warmup=500 key=beta_1 ess=17.0 ess_per_sec=5.87 tree_depth=4.48 time_ms=2894.8
python,hbm_scaling,M3_ranslope_iter100,2907.52,0.9,27,iter=100 warmup=500 key=beta_1 ess=27.0 ess_per_sec=9.29 tree_depth=4.23 time_ms=2907.5
python,hbm_scaling,M3_ranslope_iter200,2739.29,0.94,59,iter=200 warmup=500 key=beta_1 ess=59.0 ess_per_sec=21.54 tree_depth=4.18 time_ms=2739.3
python,hbm_scaling,M3_ranslope_iter400,3299.14,0.94,100,iter=400 warmup=500 key=beta_1 ess=100.0 ess_per_sec=30.31 tree_depth=4.24 time_ms=3299.1
python,hbm_scaling,M3_ranslope_iter800,3636.29,0.94,234,iter=800 warmup=500 key=beta_1 ess=234.0 ess_per_sec=64.35 tree_depth=4.23 time_ms=3636.3
python,hbm_scaling,M3_ranslope_iter1600,4072.85,0.95,397,iter=1600 warmup=500 key=beta_1 ess=397.0 ess_per_sec=97.47 tree_depth=4.24 time_ms=4072.8
python,hbm_scaling,M4_multix_iter50,2052.56,1.23,84,iter=50 warmup=500 key=beta[1] ess=84.0 ess_per_sec=40.92 tree_depth=2.88 time_ms=2052.6
python,hbm_scaling,M4_multix_iter100,2073.07,1.23,200,iter=100 warmup=500 key=beta[1] ess=200.0 ess_per_sec=96.48 tree_depth=2.91 time_ms=2073.1
python,hbm_scaling,M4_multix_iter200,2070.73,1.229,347,iter=200 warmup=500 key=beta[1] ess=347.0 ess_per_sec=167.57 tree_depth=2.88 time_ms=2070.7
python,hbm_scaling,M4_multix_iter400,2135.61,1.231,653,iter=400 warmup=500 key=beta[1] ess=653.0 ess_per_sec=305.77 tree_depth=2.87 time_ms=2135.6
python,hbm_scaling,M4_multix_iter800,2349.32,1.231,1502,iter=800 warmup=500 key=beta[1] ess=1502.0 ess_per_sec=639.33 tree_depth=2.84 time_ms=2349.3
python,hbm_scaling,M4_multix_iter1600,2601.16,1.229,2362,iter=1600 warmup=500 key=beta[1] ess=2362.0 ess_per_sec=908.06 tree_depth=2.84 time_ms=2601.2
python,hbm_scaling,M5_nonlin_iter50,2240.07,1.2,20,iter=50 warmup=500 key=b ess=20.0 ess_per_sec=8.93 tree_depth=3.50 time_ms=2240.1
python,hbm_scaling,M5_nonlin_iter100,1757.78,1.21,46,iter=100 warmup=500 key=b ess=46.0 ess_per_sec=26.17 tree_depth=3.52 time_ms=1757.8
python,hbm_scaling,M5_nonlin_iter200,1807.83,1.19,97,iter=200 warmup=500 key=b ess=97.0 ess_per_sec=53.66 tree_depth=3.50 time_ms=1807.8
python,hbm_scaling,M5_nonlin_iter400,1893.49,1.17,160,iter=400 warmup=500 key=b ess=160.0 ess_per_sec=84.50 tree_depth=3.49 time_ms=1893.5
python,hbm_scaling,M5_nonlin_iter800,2260.29,1.16,357,iter=800 warmup=500 key=b ess=357.0 ess_per_sec=157.94 tree_depth=3.51 time_ms=2260.3
python,hbm_scaling,M5_nonlin_iter1600,2093.11,1.16,700,iter=1600 warmup=500 key=b ess=700.0 ess_per_sec=334.43 tree_depth=3.53 time_ms=2093.1
python,hbm_scaling,M6_hier_nonlin_iter50,1662.1,1.02,7,iter=50 warmup=500 key=b ess=7.0 ess_per_sec=4.21 tree_depth=3.02 time_ms=1662.1
python,hbm_scaling,M6_hier_nonlin_iter100,1677.37,1.02,116,iter=100 warmup=500 key=b ess=116.0 ess_per_sec=69.16 tree_depth=3.02 time_ms=1677.4
python,hbm_scaling,M6_hier_nonlin_iter200,2118.2,1.02,89,iter=200 warmup=500 key=b ess=89.0 ess_per_sec=42.02 tree_depth=3.02 time_ms=2118.2
python,hbm_scaling,M6_hier_nonlin_iter400,2272.59,1.03,177,iter=400 warmup=500 key=b ess=177.0 ess_per_sec=77.88 tree_depth=3.01 time_ms=2272.6
python,hbm_scaling,M6_hier_nonlin_iter800,2325.09,1.03,406,iter=800 warmup=500 key=b ess=406.0 ess_per_sec=174.62 tree_depth=3.02 time_ms=2325.1
python,hbm_scaling,M6_hier_nonlin_iter1600,2600.54,1.031,999,iter=1600 warmup=500 key=b ess=999.0 ess_per_sec=384.15 tree_depth=3.03 time_ms=2600.5
