system,suite,name,time_ms,acc_main,acc_aux,extra
python,hbm_scaling,M7_pois_iter50,828.726,0.79,29,iter=50 warmup=500 key=b ess=29.0 ess_per_sec=34.99 tree_depth=2.20 time_ms=828.7
python,hbm_scaling,M7_pois_iter100,883.608,0.79,48,iter=100 warmup=500 key=b ess=48.0 ess_per_sec=54.32 tree_depth=2.19 time_ms=883.6
python,hbm_scaling,M7_pois_iter200,988.848,0.79,83,iter=200 warmup=500 key=b ess=83.0 ess_per_sec=83.94 tree_depth=2.25 time_ms=988.8
python,hbm_scaling,M7_pois_iter400,929.47,0.791,142,iter=400 warmup=500 key=b ess=142.0 ess_per_sec=152.78 tree_depth=2.30 time_ms=929.5
python,hbm_scaling,M7_pois_iter800,885.153,0.791,378,iter=800 warmup=500 key=b ess=378.0 ess_per_sec=427.04 tree_depth=2.31 time_ms=885.2
python,hbm_scaling,M7_pois_iter1600,1168.69,0.789,698,iter=1600 warmup=500 key=b ess=698.0 ess_per_sec=597.25 tree_depth=2.31 time_ms=1168.7
python,hbm_scaling,M8_logit_iter50,1032.09,1.3,35,iter=50 warmup=500 key=b ess=35.0 ess_per_sec=33.91 tree_depth=2.48 time_ms=1032.1
python,hbm_scaling,M8_logit_iter100,1026.88,1.4,33,iter=100 warmup=500 key=b ess=33.0 ess_per_sec=32.14 tree_depth=2.35 time_ms=1026.9
python,hbm_scaling,M8_logit_iter200,1059.43,1.38,98,iter=200 warmup=500 key=b ess=98.0 ess_per_sec=92.50 tree_depth=2.41 time_ms=1059.4
python,hbm_scaling,M8_logit_iter400,1054.11,1.36,169,iter=400 warmup=500 key=b ess=169.0 ess_per_sec=160.33 tree_depth=2.36 time_ms=1054.1
python,hbm_scaling,M8_logit_iter800,1059.12,1.33,355,iter=800 warmup=500 key=b ess=355.0 ess_per_sec=335.19 tree_depth=2.37 time_ms=1059.1
python,hbm_scaling,M8_logit_iter1600,1087.23,1.33,799,iter=1600 warmup=500 key=b ess=799.0 ess_per_sec=734.90 tree_depth=2.38 time_ms=1087.2
python,hbm_scaling,M9_negbin_iter50,1499.2,0.81,59,iter=50 warmup=500 key=b ess=59.0 ess_per_sec=39.35 tree_depth=2.58 time_ms=1499.2
python,hbm_scaling,M9_negbin_iter100,1515.52,0.82,75,iter=100 warmup=500 key=b ess=75.0 ess_per_sec=49.49 tree_depth=2.52 time_ms=1515.5
python,hbm_scaling,M9_negbin_iter200,1533.78,0.82,204,iter=200 warmup=500 key=b ess=204.0 ess_per_sec=133.00 tree_depth=2.56 time_ms=1533.8
python,hbm_scaling,M9_negbin_iter400,1577.6,0.82,372,iter=400 warmup=500 key=b ess=372.0 ess_per_sec=235.80 tree_depth=2.58 time_ms=1577.6
python,hbm_scaling,M9_negbin_iter800,1658.2,0.822,731,iter=800 warmup=500 key=b ess=731.0 ess_per_sec=440.84 tree_depth=2.60 time_ms=1658.2
python,hbm_scaling,M9_negbin_iter1600,1737.82,0.822,1336,iter=1600 warmup=500 key=b ess=1336.0 ess_per_sec=768.78 tree_depth=2.60 time_ms=1737.8
