system,suite,name,time_ms,acc_main,acc_aux,extra
python,hbm_scaling,M1_pooled_iter50,3139.52,1.43,44,iter=50 warmup=500 key=b ess=44.0 ess_per_sec=14.01 tree_depth=2.64 time_ms=3139.5
python,hbm_scaling,M1_pooled_iter100,2974.79,1.428,84,iter=100 warmup=500 key=b ess=84.0 ess_per_sec=28.24 tree_depth=2.55 time_ms=2974.8
python,hbm_scaling,M1_pooled_iter200,3203.35,1.433,171,iter=200 warmup=500 key=b ess=171.0 ess_per_sec=53.38 tree_depth=2.58 time_ms=3203.4
python,hbm_scaling,M1_pooled_iter400,3327.61,1.437,264,iter=400 warmup=500 key=b ess=264.0 ess_per_sec=79.34 tree_depth=2.54 time_ms=3327.6
python,hbm_scaling,M1_pooled_iter800,2810,1.435,583,iter=800 warmup=500 key=b ess=583.0 ess_per_sec=207.47 tree_depth=2.55 time_ms=2810.0
python,hbm_scaling,M1_pooled_iter1600,2711.92,1.434,1421,iter=1600 warmup=500 key=b ess=1421.0 ess_per_sec=523.98 tree_depth=2.55 time_ms=2711.9
python,hbm_scaling,M2_ranint_iter50,3607.96,0.83,21,iter=50 warmup=500 key=beta_1 ess=21.0 ess_per_sec=5.82 tree_depth=4.24 time_ms=3608.0
python,hbm_scaling,M2_ranint_iter100,2915.73,0.83,48,iter=100 warmup=500 key=beta_1 ess=48.0 ess_per_sec=16.46 tree_depth=4.23 time_ms=2915.7
python,hbm_scaling,M2_ranint_iter200,2956.47,0.83,79,iter=200 warmup=500 key=beta_1 ess=79.0 ess_per_sec=26.72 tree_depth=4.21 time_ms=2956.5
python,hbm_scaling,M2_ranint_iter400,3001.11,0.83,188,iter=400 warmup=500 key=beta_1 ess=188.0 ess_per_sec=62.64 tree_depth=4.19 time_ms=3001.1
python,hbm_scaling,M2_ranint_iter800,3269.19,0.829,332,iter=800 warmup=500 key=beta_1 ess=332.0 ess_per_sec=101.55 tree_depth=4.22 time_ms=3269.2
python,hbm_scaling,M2_ranint_iter1600,3079.56,0.83,624,iter=1600 warmup=500 key=beta_1 ess=624.0 ess_per_sec=202.63 tree_depth=4.22 time_ms=3079.6
