name,energy,dose,z,y
c01_E100.0_D6.0,100.0,6.0,0.0000,3.0386
c01_E100.0_D6.0,100.0,6.0,2.3163,2.9069
c01_E100.0_D6.0,100.0,6.0,4.6672,2.3650
c01_E100.0_D6.0,100.0,6.0,6.6790,1.9684
c01_E100.0_D6.0,100.0,6.0,7.6206,1.9457
c01_E100.0_D6.0,100.0,6.0,11.3970,0.8275
c01_E100.0_D6.0,100.0,6.0,11.5377,0.8962
c01_E100.0_D6.0,100.0,6.0,19.0672,-1.5304
c01_E100.0_D6.0,100.0,6.0,19.1905,-1.6508
c01_E100.0_D6.0,100.0,6.0,20.6933,-1.9465
c01_E100.0_D6.0,100.0,6.0,22.1883,-2.5133
c01_E100.0_D6.0,100.0,6.0,27.3402,-3.9741
c01_E100.0_D6.0,100.0,6.0,28.0114,-4.2872
c01_E100.0_D6.0,100.0,6.0,29.3690,-4.6514
c01_E100.0_D6.0,100.0,6.0,29.7754,-4.7029
c01_E100.0_D6.0,100.0,6.0,31.8086,-5.2809
c01_E100.0_D6.0,100.0,6.0,39.1809,-6.0844
c01_E100.0_D6.0,100.0,6.0,40.3232,-5.9410
c01_E100.0_D6.0,100.0,6.0,40.4608,-6.0019
c01_E100.0_D6.0,100.0,6.0,40.7976,-5.9860
c01_E100.0_D6.0,100.0,6.0,45.7983,-5.3682
c01_E100.0_D6.0,100.0,6.0,46.3748,-5.2730
c01_E100.0_D6.0,100.0,6.0,53.1603,-3.6348
c01_E100.0_D6.0,100.0,6.0,53.7814,-3.3212
c01_E100.0_D6.0,100.0,6.0,55.0527,-3.0180
c01_E100.0_D6.0,100.0,6.0,58.4335,-2.2359
c01_E100.0_D6.0,100.0,6.0,59.3322,-2.1430
c01_E100.0_D6.0,100.0,6.0,60.6439,-1.6402
c01_E100.0_D6.0,100.0,6.0,61.5996,-1.6136
c01_E100.0_D6.0,100.0,6.0,65.7056,-0.7573
c01_E100.0_D6.0,100.0,6.0,71.3068,-0.3127
c01_E100.0_D6.0,100.0,6.0,71.9123,-0.1020
c01_E100.0_D6.0,100.0,6.0,72.4626,-0.2554
c01_E100.0_D6.0,100.0,6.0,74.3181,-0.0784
c01_E100.0_D6.0,100.0,6.0,76.0848,0.2438
c01_E100.0_D6.0,100.0,6.0,78.2496,0.1979
c01_E100.0_D6.0,100.0,6.0,80.5331,0.1904
c01_E100.0_D6.0,100.0,6.0,80.6883,0.1277
c01_E100.0_D6.0,100.0,6.0,81.7912,0.1717
c01_E100.0_D6.0,100.0,6.0,87.2711,0.1826
c01_E100.0_D6.0,100.0,6.0,90.6213,0.2565
c01_E100.0_D6.0,100.0,6.0,92.7028,0.0112
c01_E100.0_D6.0,100.0,6.0,95.4858,0.0914
c01_E100.0_D6.0,100.0,6.0,96.1883,0.0195
c01_E100.0_D6.0,100.0,6.0,97.3616,0.1200
c01_E100.0_D6.0,100.0,6.0,100.4861,0.1724
c01_E100.0_D6.0,100.0,6.0,106.0258,0.1743
c01_E100.0_D6.0,100.0,6.0,107.0719,0.2766
c01_E100.0_D6.0,100.0,6.0,107.1071,0.1301
c01_E100.0_D6.0,100.0,6.0,108.4521,0.0594
c01_E100.0_D6.0,100.0,6.0,111.5461,0.0770
c01_E100.0_D6.0,100.0,6.0,116.6512,0.0670
c01_E100.0_D6.0,100.0,6.0,120.4586,0.1086
c01_E100.0_D6.0,100.0,6.0,122.0410,0.0105
c01_E100.0_D6.0,100.0,6.0,122.6275,0.2232
c01_E100.0_D6.0,100.0,6.0,125.0385,0.1179
c01_E100.0_D6.0,100.0,6.0,130.9424,0.0025
c01_E100.0_D6.0,100.0,6.0,132.4513,0.1669
c01_E100.0_D6.0,100.0,6.0,133.0874,0.0647
c01_E100.0_D6.0,100.0,6.0,136.7667,0.0065
c01_E100.0_D6.0,100.0,6.0,138.3216,0.1047
c01_E100.0_D6.0,100.0,6.0,140.6066,0.1460
c01_E100.0_D6.0,100.0,6.0,140.8377,0.0303
c01_E100.0_D6.0,100.0,6.0,146.0054,0.0927
c01_E100.0_D6.0,100.0,6.0,146.1063,-0.2626
c01_E100.0_D6.0,100.0,6.0,152.8991,0.1764
c01_E100.0_D6.0,100.0,6.0,154.0685,0.0400
c01_E100.0_D6.0,100.0,6.0,155.0307,0.1488
c01_E100.0_D6.0,100.0,6.0,160.9483,-0.1129
c01_E100.0_D6.0,100.0,6.0,164.2455,0.0591
c01_E100.0_D6.0,100.0,6.0,168.2051,-0.0164
c01_E100.0_D6.0,100.0,6.0,168.2625,-0.1583
c01_E100.0_D6.0,100.0,6.0,168.9853,0.0356
c01_E100.0_D6.0,100.0,6.0,171.0899,0.0073
c01_E100.0_D6.0,100.0,6.0,175.7250,0.0860
c01_E100.0_D6.0,100.0,6.0,176.3093,-0.0037
c01_E100.0_D6.0,100.0,6.0,176.8245,0.0300
c01_E100.0_D6.0,100.0,6.0,180.7714,0.0163
c01_E100.0_D6.0,100.0,6.0,183.5248,-0.1568
c01_E100.0_D6.0,100.0,6.0,188.9713,0.1459
c01_E100.0_D6.0,100.0,6.0,189.4223,-0.0005
c01_E100.0_D6.0,100.0,6.0,191.2886,-0.0619
c01_E100.0_D6.0,100.0,6.0,196.7753,-0.0855
c01_E100.0_D6.0,100.0,6.0,200.0000,0.0351
c02_E100.0_D6.4,100.0,6.4,0.0000,3.2350
c02_E100.0_D6.4,100.0,6.4,5.7644,1.9298
c02_E100.0_D6.4,100.0,6.4,7.5689,1.6852
c02_E100.0_D6.4,100.0,6.4,11.1816,1.0081
c02_E100.0_D6.4,100.0,6.4,11.4024,0.8827
c02_E100.0_D6.4,100.0,6.4,15.4842,-0.2030
c02_E100.0_D6.4,100.0,6.4,22.4539,-2.3560
c02_E100.0_D6.4,100.0,6.4,23.0348,-2.8987
